Lake,Town,Observer,Date,Start,Stop,Adult,Chick,SubAdult,Survey,Comment
Bald Hill,Westmore,,7/21/2012,,,2,0,,1,
Ball Mountain,Jamaica,C Davis,7/20/2012,,,0,0,,1,7/20 c davis
Bean (Sutton),Sutton,,7/21/2012,,,2,2,,1,
Beaver,Holland,,7/21/2012,,,2,0,,1,
Beebe (Sund),Sunderland,Henry,7/21/2012,15:30,,0,0,,1,henry 3:30 pm
Berlin,Berlin,,7/21/2012,,,3,0,3,1,
Bliss,Calais,,7/21/2012,,,0,0,,1,
Bourn,Sunderland,Henry,7/21/2012,18:30,,2,1,,1,henry 6:30 pm
Branch,Sunderland,Henry,7/21/2012,16:30,,0,0,,1,henry 4:30 pm
Brownington,Brownington,,7/21/2012,,,2,0,,1,
Bruce,Sutton,,7/21/2012,,,1,0,,1,nest; 1 flew over 
Buck,Woodbury,,7/21/2012,,,5,0,,1,1 flew in 9 am
Carmi,Franklin,,7/21/2012,,,2,0,1,1,
Caspian,Greensboro,,7/21/2012,,,1,0,,1,
Center,Newark,Marshalls,7/21/2012,,,1,0,,1,Marshalls
Chittenden,Chittenden,,7/21/2012,,,3,2,1,1,
Clarks (Tildys),Glover,,7/21/2012,,,0,0,,1,
Clyde,Derby,,7/21/2012,,,0,0,,1,
Coits,Cabot,,7/21/2012,,,0,0,,1,
Colby,Plymouth,Johnny,7/22/2012,,,0,0,,1,7/22 johnny
Colchester,Colchester,,7/21/2012,,,0,0,,1,
Coles,Walden,,7/21/2012,,,2,0,,1,
Collins,Hyde Park,,7/21/2012,,,4,0,,1,
Comerford,Waterford,Liz,7/21/2012,,,0,0,,1,Liz
Cranberry Meadow,Woodbury,,7/21/2012,,,0,0,,1,
Crystal,Barton,,7/21/2012,,,1,0,,1,
Cutter,Williamstown,,7/21/2012,,,0,0,,1,
Daniels - West (Rodgers),Glover,,7/21/2012,,,0,0,,1,
Daniels Pond,Glover,,7/21/2012,,,2,0,,1,"8:45 1 flew, then 2 flew over"
Derby,Derby,,7/21/2012,,,2,2,,1,
Dog (Valley),Woodbury,,7/21/2012,,,1,0,,1,
Dunmore,Salisbury,,7/21/2012,,,6,2,2,1,
East Long,Woodbury,,7/21/2012,,,2,1,,1,
Echo (Charleston),Charleston,,7/21/2012,,,7,0,,1,
Echo (Plymouth),Plymouth,,7/21/2012,,,0,0,,1,
Eden,Eden,,7/21/2012,,,3,2,,1,
Elligo,Greensboro,,7/21/2012,,,2,1,,1,
Elmore,Elmore,,7/21/2012,,,3,0,,1,
Ewell,Peacham,,7/21/2012,,,2,1,,1,
Fairfield,Fairfield,,7/21/2012,,,0,0,,1,
Fairlee,Fairlee,,7/21/2012,,,0,0,,1,
Fern,Leicester,,7/21/2012,,,0,0,,1,
Fosters,Peacham,,7/21/2012,,,2,2,,1,
Gale Meadows,Londonderry,,7/21/2012,,,0,0,,1,
Great Averill,Averill,,7/21/2012,,,4,1,,1,6a 1c on 7/20
Great Hosmer,Craftsbury,,7/21/2012,,,4,0,,1,
Green River,Hyde Park,,7/21/2012,,,9,3,,1,
Griffith,Peru,Richard Andrews,7/21/2012,,,0,0,,1,Richard Andrews
Groton,Groton,,7/21/2012,,,6,0,,1,
Grout,Stratton,Henry,7/21/2012,14:00,,0,0,,1,2 pm henry
Halls,Newbury,,7/21/2012,,,2,0,,1,
Hardwick,Hardwick,,7/21/2012,,,0,0,,1,
Hardwood,Elmore,,7/21/2012,,,1,1,0,1,Check for chick
Harriman,Whitingham,Henry,7/20/2012,,,1,0,,1,7-20 henry
Hartland dam,Hartland,,7/21/2012,,,0,0,,1,
Hartwell,Albany,,7/21/2012,,,0,0,,1,
Harveys,Barnet,,7/21/2012,,,2,2,,1,
Holland,Holland,,7/21/2012,,,3,2,,1,
Hortonia,Hubbardton,,7/21/2012,,,0,0,,1,
