Lake,Town,Observer,Date,Start,Stop,Adult,Chick,SubAdult,Survey,Comment
Abenaki,Thetford,,7/16/2022,,,0,,,1,remove '23; too shallow and vegetated
Adamant,Calais,,7/16/2022,,,0,0,0,1,was not surveyed on the 16th but someone else heard/see one loon on the morning of the 17th
Amherst (Plymouth),Plymouth,,7/16/2022,,,2,0,0,1,
Baker (Barton),Barton,,7/16/2022,,,2,1,0,1,
Bald Hill,Westmore,,7/16/2022,,,4,0,0,1,2 flew over - did not land.  Possibly one flew from Newark and returned?
Bean (Sutton),Sutton,,7/16/2022,,,2,0,0,1,
Beaver,Holland,,7/16/2022,,,2,2,0,1,
Beebe (Hub),Hubbardton,,7/16/2022,,,0,,,1,
Beebe (Sund),Sunderland,,7/16/2022,,,0,0,0,1,
Beecher,Brighton,Eric H.,7/16/2022,,,0,,,1,eric h.
Berlin,Berlin,,7/16/2022,,,2,0,0,1,from master ebird list. Chick stashed? Parents flying.
Bomoseen,Castleton,,7/16/2022,,,1,0,0,1,
Bourn,Sunderland,,7/16/2022,,,2,1,0,1,"from master ebird list, chick? Ebird reported 3 loons (2a+1c)"
Branch,Sunderland,,7/16/2022,,,2,2,0,1,
Brownington,Brownington,,7/16/2022,,,2,0,0,1,"George Lague loon survey, He doesn't mention the name of the lake, Is this the correct one? Maury Tinker reports 3A (new vol.) Check w/ George next year as he did not respond to being able to the survey but he did do it (I think)."
Bruce,Sutton,Jeff Rand,7/16/2022,,,2,,,1,jeff rand
Buck,Woodbury,,7/16/2022,,,2,0,0,1,from master ebird list
Burr,Sudbury,,7/16/2022,,,0,0,0,1,
Carmi,Franklin,,7/16/2022,,,2,,,1,from master ebird list
Caspian,Greensboro,,7/16/2022,,,8,2,0,1,from master ebird list 10 loons.  8A2C
Center,Newark,,7/16/2022,,,3,1,,1,8:45 2A1C at 8:20 john conner
Chandler,Wheelock,Ken Stowe,7/16/2022,,,1,1,,1,Ken Stowe
Charleston (Charleston),Charleston,,7/16/2022,,,0,0,0,1,
Chittenden,Chittenden,,7/16/2022,,,6,3,0,1,
Clarks (Tildys),Glover,,7/16/2022,,,1,0,0,1,
Clyde,Derby,Maury Tinker,7/16/2022,,,1,2,0,1,Maury Tinker
Clyde River - Buck Flats,Charleston,,7/16/2022,,,1,1,0,1,unsure who surveyed
