Lake,Town,Observer,Date,Start,Stop,Adult,Chick,SubAdult,Survey,Comment
Adams Res.,Woodford,,7/16/2016,,,0,,,1,
Bald Hill,Westmore,,7/16/2016,,,2,2,,1,
Bean (Sutton),Sutton,,7/16/2016,,,2,1,,1,
Beaver,Holland,,7/16/2016,,,2,1,,1,
Beebe (Hub),Hubbardton,,7/16/2016,,,0,,,1,
Beebe (Sund),Sunderland,,7/16/2016,,,0,,,1,
Beecher,Brighton,Janet Dyer,7/14/2016,,,1,1,,1,janet dyer on 7/14
Berlin,Berlin,,7/16/2016,,,1,2,,1,
Big (Woodford Lake),Woodford,,7/16/2016,,,0,,,1,
Bomoseen,Castleton,,7/16/2016,,,0,,,1,
Bourn,Sunderland,,7/16/2016,,,2,1,,1,
Branch,Sunderland,William Garrison,7/16/2016,8:15,,0,,,1,William Garrison 0 8:15 a.m
Brownington,Brownington,,7/16/2016,,,2,0,,1,
Bruce,Sutton,,7/16/2016,,,1,,,1,
Buck,Woodbury,,7/16/2016,,,3,,,1,1A flew in 8:20 am; chick gone or hiding
Burr,Sudbury,,7/16/2016,,,0,,,1,
Carmi,Franklin,,7/16/2016,,,3,,,1,
Caspian,Greensboro,,7/16/2016,,,6,,,1,1 on nest; 1 flying but did not count in total in case one of previously observed
Center,Newark,,7/16/2016,,,0,,,1,
Chandler,Wheelock,,7/16/2016,,,0,,,1,
Charleston (Charleston),Charleston,,7/16/2016,,,2,,,1,
Chittenden,Chittenden,,7/16/2016,,,5,3,,1,3 in flight 80 minutes after 1st sighting.  Could be 1-3 extras? Count as 1 extra since unlikely 3 of 4 breeding adults all together.
Clarks (Tildys),Glover,,7/16/2016,,,2,,,1,
Coits,Cabot,,7/16/2016,,,1,0,,1,
Colby,Plymouth,,7/16/2016,,,0,,,1,
Colchester,Colchester,,7/16/2016,,,0,,,1,
Coles,Walden,,7/16/2016,,,2,2,,1,
Collins,Hyde Park,,7/16/2016,,,1,0,,1,
Crescent,Sharon,,7/16/2016,,,1,,,1,NEW lake
Crystal,Barton,,7/16/2016,,,3,,,1,
Daniels - West (Rodgers),Glover,,7/16/2016,,,0,,,1,
Daniels Pond,Glover,,7/16/2016,,,2,1,,1,
Derby,Derby,,7/16/2016,,,3,,,1,
Dog (Valley),Woodbury,,7/16/2016,,,1,,,1,
Dunmore,Salisbury,,7/16/2016,,,0,,,1,
East Long,Woodbury,,7/16/2016,,,1,2,,1,
Echo (Charleston),Charleston,,7/16/2016,,,2,,,1,
Echo (Hub),Hubbardton,,7/16/2016,,,0,,,1,
Eden,Eden,,7/17/2016,,,2,2,,1,survey 7/17; 0 found in rain on 7/16
Elligo,Greensboro,,7/16/2016,,,2,,,1,
Elmore,Elmore,,7/16/2016,,,4,,,1,
Ewell,Peacham,,7/16/2016,,,2,2,,1,
Fairfield,Fairfield,,7/16/2016,,,2,0,,1,
Fairlee,Fairlee,,7/16/2016,,,2,,,1,
Fern,Leicester,,7/16/2016,,,0,,,1,Loon heard tremoloing in flight at 7:20 a.m.
Flagg,Wheelock,,7/16/2016,,,2,0,,1,
Forest,Averill,,7/16/2016,,,1,,,1,Flew in at 9:03 am
Fosters,Peacham,,7/16/2016,,,2,2,,1,
Gale Meadows,Londonderry,,7/16/2016,,,2,0,,1,
Glen,Fair Haven,,7/16/2016,,,2,0,,1,
Great Averill,Averill,,7/16/2016,,,6,1,,1,
Great Hosmer,Craftsbury,,7/16/2016,,,3,1,,1,ebird report of 4; did not distinguish between adult and chick (one chick known to be on pond)
Green River,Hyde Park,Hanson|Willean,7/16/2016,,,9,2,,1,hanson and willean
Greenwood,Woodbury,,7/16/2016,,,2,1,,1,
Groton,Groton,,7/16/2016,,,5,1,,1,
Grout,Stratton,,7/19/2016,,,0,,,1,Survey 7/19 check for others
Halls,Newbury,,7/16/2016,,,0,0,,1,
Hardwick,Hardwick,,7/22/2016,,,1,2,,1,Survey 7/22 count 2Ad or not?
Hardwood,Elmore,,7/16/2016,,,2,,,1,7/16 survey 2A 1C
Harriman,Whitingham,,7/16/2016,,,1,,,1,
